"","standardised_karlan_profit","karlan_treatment"
"359",1132.44416387672,1
"360",557.387411156342,1
"361",2305.04592221715,1
"362",467.835975502261,1
"363",460.47374985058,1
"364",123.149956355388,1
"365",112.03968855376,1
"366",762.994294810554,1
"367",53.5434592849512,1
"368",0,1
"369",117.795610426893,1
"370",214.173837139805,1
"371",484.568306528808,1
"372",133.858648212378,1
"373",0,1
"374",0,1
"375",8.03151889274268,1
"376",313.229236816964,1
"377",26.7717296424756,1
"378",74.9608429989317,1
"379",171.339069711844,1
"380",2141.73837139805,1
"381",107.086918569902,0
"382",40.1575944637134,1
"383",0,1
"384",479.213960600313,1
"385",0,1
"386",224.882528996795,1
"387",315.906409781212,1
"388",0,1
"389",481.891133564561,1
"390",803.151889274268,1
"391",2141.73837139805,1
"392",40.1575944637134,1
"393",348.032485352183,1
"394",0,0
"395",0,1
"396",481.891133564561,0
"397",803.151889274268,1
"398",16.0630377854854,1
"399",1111.02678016274,1
"400",337.323793495192,0
"401",107.086918569902,0
"402",854.018175594971,1
"403",535.434592849512,0
"404",326.615101638202,1
"405",669.29324106189,1
"406",401.575944637134,0
"407",471.18244170757,1
"408",0,1
"409",0,1
"410",139.212994140873,0
"411",883.467078201695,1
"412",0,1
"413",174.016242676091,1
"414",200.787972318567,1
"415",492.599825421551,1
"416",77.6380159631792,1
"417",2275.59701961043,1
"418",2845.56714369873,1
"419",2061.42318247062,1
"420",1558.11466519208,1
"421",80.3151889274268,1
"422",803.151889274268,1
"423",120.47278339114,1
"424",696.064970704365,1
"425",401.575944637134,1
"426",80.3151889274268,1
"427",0,1
"428",749.608429989317,1
"429",1485.8309951574,1
"430",72.2836700346841,1
"431",93.7010537486646,1
"432",754.962775917812,1
"433",918.270326736913,1
"434",107.086918569902,1
"435",803.151889274268,1
"436",32.1260755709707,1
"437",133.858648212378,1
"438",147.244513033616,1
"439",401.575944637134,1
"440",736.222565168079,1
"441",2353.2350355736,1
"442",149.921685997863,1
"443",133.858648212378,1
"444",481.891133564561,1
"445",21.4173837139805,1
"446",214.173837139805,0
"447",270.394469389004,1
"448",267.717296424756,1
"449",0,1
"450",107.086918569902,1
"451",803.151889274268,0
"452",803.151889274268,1
"453",321.260755709707,1
"454",0,1
"455",649.214443830033,0
"456",803.151889274268,1
"457",42.2993328351114,1
"458",0,1
"459",267.717296424756,1
"460",222.205356032547,1
"461",112.441264498398,1
"462",0,1
