"","standardised_banerjee_profit","banerjee_treatment"
"803",309.854333268122,1
"804",23.7482761721581,1
"805",0,1
"806",0,1
"807",0,1
"808",0,1
"809",0,0
"810",0,1
"811",0,1
"812",196.399977394563,1
"813",0,1
"814",0,1
"815",0,1
"816",0,1
"817",0,1
"818",0,1
"819",0,1
"820",0,1
"821",0,1
"822",62.4042293574958,1
"823",0,1
"824",0,1
"825",0,1
"826",0,1
"827",0,1
"828",0,1
"829",0,1
"830",8.45057272549422,0
"831",33.1522468461696,1
"832",3.40189722539126,1
"833",75.6217918255765,1
"834",0,1
"835",0,1
"836",0,1
"837",0,1
"838",0,1
"839",0,1
"840",86.8892221262355,1
"841",0,1
"842",0,1
"843",0,0
"844",0,0
"845",0,0
"846",-1208.64858109761,0
"847",0,0
"848",0,0
"849",0,0
"850",0,0
"851",0,0
"852",0,0
"853",0,0
"854",0,0
"855",0,0
"856",0,0
"857",0,0
"858",0,0
"859",0,0
"860",160.344200432454,0
"861",0,1
"862",0,1
"863",0,1
"864",0,1
"865",0,1
"866",0,1
"867",0,1
"868",0,1
"869",0,1
"870",0,1
"871",-16.0344200432455,1
"872",-188.512776184102,1
"873",-27.0851689919687,1
"874",0,1
"875",0,1
"876",0,1
"877",0,1
"878",0,1
"879",0,1
"880",0,1
"881",0,1
"882",0,1
"883",0,1
"884",0,1
"885",0,1
"886",0,1
"887",0,1
"888",0,1
"889",0,1
"890",0,1
"891",0,1
"892",0,1
"893",0,1
"894",0,1
"895",0,1
"896",0,1
"897",0,1
"898",0,1
"899",0,1
"900",0,1
"901",-247.016741206754,1
"902",0,1
"903",0,1
"904",-159.477475024712,1
"905",-18.807941348023,1
"906",0,1
"907",0,1
"908",0,1
"909",0,1
"910",0,1
"911",0,0
"912",844.190547141679,0
"913",0,0
"914",-4.98367109452223,0
"915",-1.95013216742174,0
"916",0,0
"917",384.826081037891,0
"918",38.5692806445634,0
"919",25.4817269876441,0
"920",0,0
"921",0,0
"922",0,0
"923",0,0
"924",0,0
"925",0,0
"926",0,0
"927",0,0
"928",0,0
"929",0,0
"930",0,0
"931",0,0
"932",0,0
"933",0,0
"934",0,0
"935",0,0
"936",0,0
"937",0,0
"938",0,0
"939",0,0
"940",0,0
"941",0,0
"942",-34.6690163097199,0
"943",0,0
"944",0,0
"945",251.350368245469,0
"946",0,0
"947",0,0
"948",0,0
"949",0,0
"950",0,0
"951",0,0
"952",0,0
"953",0,0
"954",0,0
"955",0,0
"956",0,0
"957",0,0
"958",0,0
"959",0,0
"960",0,0
"961",0,0
"962",96.293192800247,0
"963",-21.2347724897034,0
"964",0,0
"965",91.0061678130147,0
"966",0,0
